ID,DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbBicy,NbBicyChild,NbComp,NbTV,Internet,NewsPaperSubs,NbCellPhones,NbSmartPhone,HouseType,OwnHouse,NbRoomsHouse,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,CalculatedIncome,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,CostCarCHF,Envir01,Envir02,Envir03,Envir04,Envir05,Envir06,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27,ResidCh01,ResidCh02,ResidCh03,ResidCh04,ResidCh05,ResidCh06,ResidCh07,LifSty01,LifSty02,LifSty03,LifSty04,LifSty05,LifSty06,LifSty07,LifSty08,LifSty09,LifSty10,LifSty11,LifSty12,LifSty13,LifSty14,TripPurpose,TypeCommune,UrbRur,LangCode,ClassifCodeLine,frequency,ResidChild,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,Choice,InVehicleTime,ModeToSchool,ReportedDuration,CoderegionCAR,age,Weight
10350199,4.0,4,123,21,59,9.4,2.03,19,3.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,5.0,2.0,1977.0,2.0,3.0,2.0,4.0,9000.0,6.0,2,2,2,2,2,1.0,9.4,2.91,4.0,4.0,3.0,2.0,5.0,5.0,2.0,3.0,2.0,4.0,6.0,4.0,4.0,1.0,3.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,5.0,4.0,6.0,6.0,6.0,2.0,4.0,2.0,2.0,6.0,6.0,3.0,4.0,2.0,3.0,1.0,5.0,5.0,3.0,3.0,1.0,3.0,6.0,2.0,1.0,5.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,7,1,1,4,1,3.0,1,3.0,2.0,1.0,2.0,1,22.0,1,43.0,5.0,20.0,1,33.0,0.000232084
10350199,4.0,2,80,26,3,4.8,1.13,12,3.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,5.0,2.0,1977.0,2.0,3.0,2.0,4.0,9000.0,6.0,2,2,2,2,2,1.0,4.8,1.62,4.0,4.0,3.0,2.0,5.0,5.0,2.0,3.0,2.0,4.0,6.0,4.0,4.0,1.0,3.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,5.0,4.0,6.0,6.0,6.0,2.0,4.0,2.0,2.0,6.0,6.0,3.0,4.0,2.0,3.0,1.0,5.0,5.0,3.0,3.0,1.0,3.0,6.0,2.0,1.0,5.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,7,1,1,4,1,3.0,2,3.0,2.0,1.0,2.0,1,11.0,1,51.0,5.0,20.0,1,33.0,0.000232084
10350271,11.0,6,147,42,35,22.0,2.04,28,2.0,3.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,15.0,4.0,2.0,1971.0,2.0,3.0,2.0,6.0,7000.0,3.0,2,2,2,2,2,1.0,22.0,2.92,2.0,3.0,4.0,2.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0,2.0,4.0,2.0,4.0,4.0,2.0,6.0,6.0,2.0,4.0,1.0,4.0,6.0,5.0,2.0,4.0,2.0,1.0,1.0,2.0,5.0,2.0,4.0,2.0,5.0,4.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,7,1,1,4,1,5.0,2,4.0,1.0,1.0,4.0,1,20.0,1,70.0,4.0,30.0,1,39.0,0.00087004
10350271,4.0,2,117,62,25,8.6,1.46,20,2.0,3.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,15.0,4.0,2.0,1971.0,2.0,3.0,2.0,6.0,7000.0,3.0,2,2,2,2,2,1.0,8.6,2.09,2.0,3.0,4.0,2.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0,2.0,4.0,2.0,4.0,4.0,2.0,6.0,6.0,2.0,4.0,1.0,4.0,6.0,5.0,2.0,4.0,2.0,1.0,1.0,2.0,5.0,2.0,4.0,2.0,5.0,4.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,7,1,1,4,1,5.0,3,4.0,1.0,1.0,4.0,1,15.0,1,30.0,4.0,23.0,1,39.0,0.00087004
10350272,1.0,3,266,67,95,37.2,5.34,51,2.0,3.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,41.0,4.0,1.0,1968.0,2.0,3.0,1.0,8.0,7000.0,3.0,2,2,2,2,2,1.0,37.2,7.65,2.0,1.0,3.0,2.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,2.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,4.0,3.0,6.0,6.0,4.0,6.0,6.0,3.0,6.0,2.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,7,1,1,4,1,5.0,3,4.0,2.0,2.0,3.0,1,55.0,1,104.0,3.0,35.5,1,42.0,0.000409116
10350272,7.0,5,250,18,137,11.0,5.16,40,2.0,3.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,41.0,4.0,1.0,1968.0,2.0,3.0,1.0,8.0,7000.0,3.0,2,2,2,2,2,1.0,11.0,7.39,2.0,1.0,3.0,2.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,2.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,4.0,3.0,6.0,6.0,4.0,6.0,6.0,3.0,6.0,2.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,7,1,1,4,1,5.0,2,4.0,2.0,2.0,3.0,1,49.5,1,95.0,3.0,20.0,1,42.0,0.000409116
10359998,1.0,1,33,14,5,3.0,0.68,9,3.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,5.0,25.0,3.0,1.0,1960.0,2.0,3.0,1.0,6.0,5000.0,3.0,2,2,2,2,2,1.0,3.0,0.97,1.0,3.0,5.0,4.0,3.0,3.0,6.0,6.0,6.0,3.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,3.0,4.0,3.0,4.0,3.0,6.0,3.0,6.0,6.0,5.0,3.0,5.0,1.0,5.0,6.0,6.0,6.0,1.0,5.0,5.0,1.0,5.0,5.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,4.0,4.0,4.0,1.0,7,1,1,4,1,4.0,1,4.0,2.0,2.0,2.0,1,7.0,1,14.0,4.0,15.0,1,50.0,0.000409116
10360009,4.0,1,29,12,0,6.2,0.92,9,4.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,0.0,1.0,1.0,7.0,30.0,4.0,1.0,1941.0,2.0,3.0,9.0,1.0,7000.0,3.0,2,2,2,2,2,1.0,6.2,1.32,6.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,6.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,1.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4,2,1,4,1,1.0,1,1.0,3.0,2.0,3.0,1,9.0,1,17.0,4.0,10.0,1,69.0,0.0003213
10360009,7.0,0,0,5,0,0.0,0.14,1,4.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,0.0,1.0,1.0,7.0,30.0,4.0,1.0,1941.0,2.0,3.0,9.0,1.0,7000.0,3.0,2,2,2,2,2,1.0,0.0,0.2,6.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,6.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,1.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4,2,1,4,1,1.0,1,1.0,3.0,2.0,3.0,1,0.8,2,40.0,4.0,10.0,1,69.0,0.0003213
10360009,1.0,2,71,32,4,4.8,1.06,14,4.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,0.0,1.0,1.0,7.0,30.0,4.0,1.0,1941.0,2.0,3.0,9.0,1.0,7000.0,3.0,2,2,2,2,2,1.0,4.8,1.52,6.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,6.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,1.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,4,2,1,4,1,1.0,1,1.0,3.0,2.0,3.0,1,11.0,1,35.0,4.0,35.5,1,69.0,0.0003213
10360009,1.0,3,90,1,38,6.2,0.42,5,4.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,0.0,1.0,1.0,7.0,30.0,4.0,1.0,1941.0,2.0,3.0,9.0,1.0,7000.0,3.0,2,2,2,2,2,1.0,6.2,0.6,6.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,6.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,1.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,4,2,1,4,1,1.0,1,1.0,3.0,2.0,3.0,1,3.0,1,51.0,4.0,7.0,1,69.0,0.0003213
10360011,1.0,4,180,71,41,26.4,4.43,45,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,30.0,4.0,1.0,1954.0,2.0,2.0,1.0,3.0,7000.0,3.0,2,2,2,2,2,1.0,26.4,6.35,3.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,4,2,1,4,1,5.0,3,1.0,2.0,2.0,4.0,1,44.5,1,68.0,4.0,75.0,1,56.0,0.000409116
10360011,1.0,10,312,58,51,59.6,14.03,93,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,30.0,4.0,1.0,1954.0,2.0,2.0,1.0,3.0,7000.0,3.0,2,2,2,2,2,1.0,59.6,20.1,3.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,4,2,1,4,1,5.0,3,1.0,2.0,2.0,4.0,1,135.5,1,203.0,4.0,100.0,1,56.0,0.000409116
10360013,1.0,4,181,97,15,16.2,2.07,24,4.0,2.0,2.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,5.0,10.0,4.0,1.0,1968.0,2.0,1.0,1.0,3.0,7000.0,6.0,2,2,2,2,2,1.0,16.2,2.97,3.0,1.0,3.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,5.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,3.0,2.0,4.0,2.0,5.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,4.0,5.0,2.0,3.0,4.0,5.0,4.0,2.0,2.0,5.0,1.0,3.0,4.0,4.0,4.0,1.0,3.0,4,2,1,4,1,3.0,4,2.0,1.0,2.0,4.0,1,20.0,1,69.0,5.0,60.0,1,42.0,0.000109132
10360014,10.0,2,95,50,8,9.6,2.84,27,4.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,5.0,10.0,4.0,1.0,1968.0,2.0,3.0,1.0,3.0,7000.0,6.0,2,2,2,2,2,1.0,9.6,4.07,3.0,1.0,3.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,5.0,5.0,1.0,5.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,5.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,4.0,5.0,2.0,3.0,4.0,5.0,4.0,2.0,2.0,5.0,1.0,3.0,4.0,4.0,4.0,1.0,3.0,4,2,1,4,1,3.0,2,2.0,1.0,2.0,4.0,1,28.0,1,37.0,5.0,30.0,1,42.0,0.000109132
10360016,1.0,2,184,94,10,20.0,2.57,30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,10.0,3.0,2.0,1966.0,2.0,1.0,1.0,6.0,5000.0,3.0,2,2,2,2,2,1.0,20.0,3.68,1.0,3.0,4.0,3.0,3.0,3.0,5.0,2.0,6.0,3.0,1.0,5.0,5.0,1.0,3.0,6.0,5.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,6.0,2.0,2.0,3.0,1.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,5.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,4,2,1,4,1,3.0,5,3.0,1.0,3.0,1.0,1,22.0,1,80.0,4.0,65.0,1,44.0,0.000367986
10360023,1.0,2,162,98,31,8.8,0.78,10,5.0,3.0,2.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,5.0,0.0,2.0,1.0,5.0,15.0,5.0,2.0,1993.0,2.0,6.0,8.0,6.0,9000.0,2.0,2,1,2,2,2,3.0,0.0,1.12,1.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,5.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,4,2,1,4,1,4.0,2,3.0,1.0,2.0,2.0,1,7.0,1,33.0,4.0,20.0,1,17.0,0.002195453
10360023,8.0,3,111,41,14,9.6,1.44,19,5.0,3.0,2.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,5.0,0.0,2.0,1.0,5.0,15.0,5.0,2.0,1993.0,2.0,6.0,8.0,6.0,9000.0,2.0,2,1,2,2,2,3.0,0.0,2.06,1.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,5.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,4,2,1,4,1,4.0,2,3.0,1.0,2.0,2.0,1,16.5,1,56.0,4.0,50.0,1,17.0,0.002195453
